2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Osteoporosis Testing - DMC04,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC05,Doctors who Communicate Well - DMC06,Call Center – Beneficiary Hold Time - DMC07,Pneumonia Vaccine - DMC08,Access to Primary Care Doctor Visits - DMC09,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC10,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC11,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC12,Initiation of Alcohol or other Drug Treatment - DMC13,Engagement of Alcohol or other Drug Treatment - DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Controlling High Blood Pressure - DMC16,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC17,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC18,Transitions of Care - Notification of Inpatient Admission - DMC19,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC20,Transitions of Care - Receipt of Discharge Information - DMC21,Transitions of Care - Average - DMC22,Plan All-Cause Readmissions (18+) - DMC23,Plan All-Cause Readmissions (18-64) - DMC24,Plan All-Cause Readmissions (65+) - DMC25,Physical Functioning Activities of Daily Living - DMC26,Care of Older Adults - Functional Status - DMC27,Kidney Health Evaluation for Patients With Diabetes - DMC28,Improving or Maintaining Physical Health - DMC29,Improving or Maintaining Mental Health - DMC30,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD01,Call Center – Beneficiary Hold Time - DMD02,MPF – Stability - DMD03,Call Center – Pharmacy Hold Time - DMD04,Plan Submitted Higher Prices for Display on MPF - DMD05,Reminders to Fill Prescriptions - DMD06,Reminders to Take Medications - DMD07,Antipsychotic Use in Persons with Dementia - DMD08,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD09,Concurrent Use of Opioids and Benzodiazepines - DMD10,Use of Opioids at High Dosage in Persons Without Cancer - DMD11,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD12,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD13,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD14,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H7607,Clever Care Health Plan,"CLEVER CARE OF GOLDEN STATE, INC.","Clever Care Health Plan, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,0:15,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan not required to report measure,Plan too new to be measured,No data available,No data available,0.00%,0:15,No data available,0:18,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7617,Humana,EMPHESYS INSURANCE COMPANY,Humana Inc.,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:23,Plan too small to be measured,Plan too small to be measured,1.07%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Plan not required to report measure,Plan too small to be measured,No data available,No data available,1.07%,0:23,No data available,0:15,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No Data Available,Not Available,Not Available,Not Available,Not Available,Not Available,100
H7621,Humana,"HUMANA HEALTH PLAN OF CALIFORNIA, INC.",Humana Inc.,35%,64%,Not enough data available,73%,22%,Plan too new to be measured,0:23,72%,94%,1.04%,73%,81%,78%,6%,11%,71%,60%,77%,14%,83%,9%,46%,12%,13%,12%,No data available,Plan not required to report measure,57%,No data available,No data available,1.04%,0:23,100,0:15,90,69%,36%,6%,No data available,17.12%,5.46%,0.70%,7.49%,6.67%,5.53,19%,38%,20%,Not Available,16%,100
H7646,PHP Medicare,PHP MEDICARE,Sparrow Health System,Not enough data available,89%,Not enough data available,Plan not required to report measure,Not enough data available,91,0:14,75%,97%,1.04%,Not enough data available,Not enough data available,29%,3%,Not enough data available,71%,Not enough data available,87%,79%,93%,73%,83%,16%,0%,18%,No data available,Plan not required to report measure,32%,No data available,No data available,1.04%,0:14,100,0:09,50,45%,21%,10%,No data available,10.08%,4.48%,No data available,5.82%,3.81%,9.69,28%,56%,18%,19%,22%,100
H7670,Mass Advantage,"CENTRAL MASS HEALTH, LLC",Central Mass Health Holding LLC,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan not required to report measure,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7678,"Molina Healthcare of Texas, Inc.","MOLINA HEALTHCARE OF TEXAS, INC.","Molina Healthcare, Inc.,",Not enough data available,55%,Not enough data available,66%,Not enough data available,No data available,0:42,50%,95%,7.50%,Not enough data available,Not enough data available,25%,0%,14%,58%,57%,34%,5%,76%,2%,29%,11%,6%,14%,86%,72%,32%,65%,78%,7.50%,0:42,99,0:39,89,61%,62%,8%,No data available,24.02%,2.14%,No data available,7.09%,6.85%,27.08,38%,45%,16%,22%,19%,100
H7680,Prominence Health Plan,PROMINENCE HEALTHFIRST OF TEXAS,"Universal Health Services, Inc.",Not enough data available,67%,Not enough data available,70%,Not enough data available,No data available,0:44,67%,93%,1.52%,Not enough data available,Not enough data available,10%,0%,Not enough data available,69%,45%,49%,6%,74%,11%,35%,9%,6%,10%,93%,No data available,26%,62%,71%,1.52%,0:44,101,0:14,94,54%,34%,5%,No data available,12.17%,2.95%,No data available,9.30%,4.27%,4.71,Not Available,Not Available,Not Available,Not Available,Not Available,80
H7728,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.",Anthem Inc.,61%,66%,96%,85%,35%,92,0:26,74%,96%,1.94%,75%,80%,34%,5%,14%,69%,60%,73%,1%,83%,1%,39%,14%,15%,13%,99%,No data available,33%,71%,82%,1.45%,0:13,100,0:41,93,47%,25%,10%,10%,19.51%,5.93%,0.16%,7.03%,5.51%,CMS Found Issues with Plan's Data,17%,9%,35%,Not Available,11%,100
H7746,MDwise Medicare,"MDWISE, INC",McLaren Health Care Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7779,American Health Advantage of Tennessee,"AMERICAN HEALTH PLAN, INC.","American Health Companies, Inc.",Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Not enough data available,Plan too new to be measured,0:07,Plan too small to be measured,100%,1.88%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,27%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,11%,0%,11%,No data available,97%,Not enough data available,No data available,No data available,1.88%,0:07,No data available,0:14,No data available,Plan too new to be measured,Plan too new to be measured,4%,4%,32.92%,1.80%,No data available,13.12%,19.05%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,80
H7787,Cigna,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,Not enough data available,64%,Not enough data available,76%,Not enough data available,No data available,0:49,70%,91%,0.65%,70%,83%,38%,4%,16%,71%,48%,83%,22%,80%,12%,49%,11%,10%,11%,97%,Plan not required to report measure,56%,70%,85%,0.65%,0:49,92,0:09,49,55%,41%,10%,No data available,14.59%,5.99%,No data available,6.27%,5.38%,12.78,22%,32%,16%,9%,12%,100
H7833,UnitedHealthcare,"UNITEDHEALTHCARE COMMUNITY PLAN OF TEXAS, L.L.C.","UnitedHealth Group, Inc.",50%,65%,Not enough data available,54%,21%,No data available,0:42,Plan too small to be measured,82%,1.56%,65%,83%,46%,6%,24%,48%,49%,23%,3%,61%,2%,22%,16%,14%,17%,84%,Plan not required to report measure,35%,68%,76%,1.56%,0:42,101,0:39,61,No data available,No data available,4%,2%,12.51%,0.92%,0.29%,7.98%,7.26%,0.07,Not Available,Not Available,Not Available,Not Available,Not Available,100
H7844,Molina Healthcare of Michigan,"MOLINA HEALTHCARE OF MICHIGAN, INC.","Molina Healthcare, Inc.,",69%,52%,91%,66%,25%,No data available,0:53,Plan too small to be measured,92%,3.13%,72%,92%,35%,4%,21%,55%,56%,21%,7%,77%,9%,29%,12%,13%,12%,94%,Plan not required to report measure,32%,75%,85%,3.13%,0:53,100,0:40,86,No data available,No data available,6%,2%,20.56%,4.70%,0.69%,13.96%,8.92%,0.86,Not Available,Not Available,Not Available,Not Available,Not Available,100
H7849,Cigna,CIGNA HEALTH AND LIFE INSURANCE COMPANY,CIGNA,28%,85%,Not enough data available,Plan not required to report measure,Not enough data available,93,0:47,70%,94%,0.62%,72%,76%,30%,2%,25%,64%,52%,86%,41%,86%,25%,59%,12%,20%,11%,No data available,Plan not required to report measure,41%,No data available,No data available,0.62%,0:47,93,0:09,49,58%,32%,7%,No data available,18.67%,8.98%,0.50%,7.13%,4.72%,14.89,18%,45%,19%,Not Available,15%,100
H7853,Bright Health,BRIGHT HEALTH INSURANCE COMPANY,"Bright Health Group, Inc.",Not enough data available,Not enough data available,Not enough data available,77%,Not enough data available,93,1:51,79%,89%,10.92%,Not enough data available,Not enough data available,44%,3%,Not enough data available,62%,67%,76%,26%,75%,28%,51%,9%,20%,6%,No data available,No data available,48%,No data available,No data available,10.92%,1:51,101,0:12,62,46%,24%,13%,No data available,11.55%,6.61%,2.64%,6.38%,4.59%,4.6,27%,38%,14%,7%,17%,100
H7885,Health Plan of San Mateo,SAN MATEO HEALTH COMMISSION,Health Plan of San Mateo,38%,61%,Not enough data available,59%,30%,No data available,0:40,Plan too small to be measured,94%,1.60%,58%,89%,23%,2%,13%,66%,59%,57%,17%,84%,10%,42%,11%,11%,11%,89%,Plan not required to report measure,40%,77%,81%,1.60%,0:40,101,0:13,72,No data available,No data available,6%,5%,22.16%,10.46%,0.82%,13.53%,8.21%,1.51,Not Available,Not Available,Not Available,Not Available,Not Available,100
H7890,Santa Clara Family Health Plan Cal MediConnect Pla,SANTA CLARA COUNTY HEALTH AUTHORITY,SANTA CLARA COUNTY HEALTH AUTHORITY,Not enough data available,62%,Not enough data available,50%,23%,No data available,0:34,Plan too small to be measured,91%,0.78%,75%,88%,37%,7%,16%,60%,58%,55%,54%,84%,45%,60%,11%,11%,12%,90%,Plan not required to report measure,50%,71%,78%,0.78%,0:34,100,0:13,97,No data available,No data available,7%,5%,11.01%,6.76%,0.80%,8.47%,5.75%,0.74,Not Available,Not Available,Not Available,Not Available,Not Available,80
H7917,BlueCross BlueShield of Tennessee,"BLUECROSS BLUESHIELD OF TENNESSEE, INC.",BlueCross BlueShield of Tennessee,53%,65%,92%,81%,32%,93,0:15,76%,96%,1.24%,74%,67%,21%,2%,14%,72%,59%,72%,25%,85%,18%,50%,11%,11%,11%,97%,Plan not required to report measure,38%,71%,80%,1.24%,0:15,99,0:09,50,51%,31%,9%,7%,15.06%,5.75%,0.17%,6.84%,4.34%,7.78,15%,17%,26%,9%,8%,80
H7925,Ascension Complete,"CENTENE VENTURE COMPANY INDIANA, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,0:14,Plan too new to be measured,Plan too new to be measured,1.88%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,1.88%,0:14,No data available,0:12,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7971,Horizon Blue Cross Blue Shield of New Jersey,HORIZON INSURANCE COMPANY,"Horizon Healthcare Services, Inc.",Not enough data available,Not enough data available,Not enough data available,84%,Not enough data available,No data available,1:13,74%,97%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,14%,59%,59%,72%,9%,72%,6%,40%,15%,20%,15%,84%,Plan not required to report measure,40%,91%,100%,0.00%,0:13,No data available,0:14,95,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,0.07,Not Available,Not Available,Not Available,Not Available,Not Available,100
