CY2015 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organizatoin Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring of Patients Taking Long-term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary Hold Time - DMC09,Pneumonia Vaccine - DMC10,Access to Primary Care Doctor Visits - DMC11,Calls Disconnected When Customer Calls Health Plan - DMC12,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC13,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC14,Initiation of Alcohol or other Drug Treatment - DMC15,Engagement of Alcohol or other Drug Treatment - DMC16,Reminders for Appointments - DMC17,Reminders for Immunizations - DMC18,Reminders for Screening Tests - DMC19,Computer Used during Office Visits - DMC20,Computer Use by Doctor Helpful - DMC21,Computer Use Made Talking with Doctor Easier - DMC22,Improving Bladder Control - DMC23,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD09,Getting Information from Drug Plan - DMD10,Call Center – Pharmacy Hold Time - DMD11,Plan Submitted Higher Prices for Display on MPF - DMD12,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD13,Transition monitoring - failure rate for all other drugs - DMD14,Reminders to Fill prescriptions - DMD15,Reminders to Take Medications - DMD16,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07"
H5746,Amerigroup Community Care of New Mexico,"AMERIGROUP COMMUNITY CARE OF NEW MEXICO, INC.",Anthem Inc.,52%,84%,71%,Not enough data available,87%,70%,26%,Not enough data available,0:43,70%,93%,0.61%,72%,80%,27%,1%,62%,47%,43%,87%,Not enough data available,60%,39%,No data available,No data available,0.61%,0:43,7.5%,0.22%,100%,99,No data available,Not enough data available,0:19,97,No data available,0.0%,34%,32%,97%,CMS Found Issues with Plan's Data,26%,22%,9%,14%,18%
H5749,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",52%,85%,61%,88%,89%,78%,40%,92%,0:45,74%,95%,3.73%,82%,84%,46%,4%,58%,44%,41%,86%,Not enough data available,46%,34%,100%,No data available,3.73%,0:45,4.3%,1.65%,No data available,98,11.76%,Not enough data available,0:04,98,No data available,0.0%,50%,13%,96%,5.81,16%,31%,34%,8%,10%
H5774,Triple S Advantage,"TRIPLE S ADVANTAGE, INC.",Triple-S Management Corporation,72%,78%,41%,83%,94%,73%,32%,Not enough data available,0:02,35%,97%,4.07%,42%,63%,26%,2%,64%,70%,63%,69%,Not enough data available,87%,Not enough data available,44%,No data available,4.07%,0:02,5.4%,0.29%,96%,99,No data available,Not enough data available,0:01,95,0.0%,0.0%,46%,53%,97%,CMS Found Issues with Plan's Data,11%,15%,15%,20%,15%
H5779,Meridian Health Plan,"MERIDIAN HEALTH PLAN OF ILLINOIS, INC.","Caidan Enterprises, Inc.",Not enough data available,93%,Not enough data available,Not enough data available,89%,No data available,Not enough data available,No data available,0:01,No data available,87%,0.00%,Not enough data available,Not enough data available,51%,6%,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,0.00%,0:01,5.6%,1.54%,100%,96,No data available,No data available,0:10,44,No data available,0.0%,No data available,No data available,98%,No Data Available,38%,52%,15%,16%,19%
H5786,Meridian Health Plan,"MERIDIAN HEALTH PLAN OF IOWA, INC.","Caidan Enterprises, Inc.",Not enough data available,93%,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,0:01,No data available,97%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,0.00%,0:01,5.6%,1.60%,100%,100,No data available,No data available,0:10,47,No data available,No data available,No data available,No data available,97%,No Data Available,42%,45%,14%,22%,20%
H5793,Aetna Medicare,"AETNA HEALTH, INC. (CT)",Aetna Inc.,71%,84%,62%,98%,92%,80%,39%,Not enough data available,0:19,69%,97%,0.00%,77%,80%,35%,5%,59%,42%,32%,74%,Not enough data available,43%,27%,100%,No data available,0.00%,0:19,5.1%,0.73%,96%,98,20.45%,82%,0:19,98,0.0%,0.0%,35%,15%,96%,1.47,20%,11%,36%,13%,10%
H5810,Molina Healthcare of California,MOLINA HEALTHCARE OF CALIFORNIA,"Molina Healthcare, Inc.,",39%,90%,49%,Not enough data available,84%,44%,14%,Not enough data available,0:16,50%,91%,3.20%,72%,84%,68%,10%,64%,47%,47%,78%,Not enough data available,48%,Not enough data available,0%,No data available,3.20%,0:16,5.6%,0.45%,100%,100,8.33%,77%,0:08,99,No data available,0.0%,47%,35%,No data available,12.96,21%,28%,4%,7%,12%
H5813,Aetna Medicare,"AETNA HEALTH, INC. (PA)",Aetna Inc.,Not enough data available,84%,66%,Not enough data available,84%,76%,35%,91%,0:19,70%,95%,0.00%,Not enough data available,Not enough data available,31%,6%,56%,49%,37%,81%,Not enough data available,46%,32%,100%,No data available,0.00%,0:19,3.3%,0.17%,No data available,98,5.56%,79%,0:19,99,No data available,0.0%,41%,17%,99%,2.29,16%,9%,40%,13%,12%
H5817,Amerigroup,"AMERIGROUP TEXAS, INC.",Anthem Inc.,50%,85%,74%,93%,94%,68%,35%,Not enough data available,0:43,63%,94%,0.57%,68%,83%,31%,4%,62%,54%,51%,87%,Not enough data available,66%,39%,75%,No data available,0.57%,0:43,5.1%,0.53%,100%,99,35.19%,Not enough data available,0:18,99,26.7%,0.0%,47%,49%,90%,CMS Found Issues with Plan's Data,27%,33%,18%,17%,20%
H5823,"Molina Healthcare of Washington, Inc.","MOLINA HEALTHCARE OF WASHINGTON, INC.","Molina Healthcare, Inc.,",36%,90%,48%,97%,92%,60%,27%,90%,0:08,61%,95%,1.86%,73%,87%,34%,3%,65%,49%,45%,92%,95%,54%,Not enough data available,100%,100.00%,1.86%,0:08,5.4%,0.26%,100%,99,36.67%,Not enough data available,0:08,93,0.0%,0.0%,43%,37%,No data available,8.67,37%,39%,15%,20%,27%
H5826,Community HealthFirst Medicare Advantage Plan,COMMUNITY HEALTH PLAN OF WASHINGTON,Community Health Plan of Washington,40%,86%,50%,88%,91%,63%,28%,Not enough data available,0:10,67%,95%,2.99%,78%,85%,24%,1%,62%,37%,38%,93%,Not enough data available,47%,37%,33%,100.00%,2.99%,0:10,5.8%,0.25%,100%,99,14.00%,Not enough data available,0:10,97,0.0%,6.7%,27%,19%,82%,CMS Found Issues with Plan's Data,19%,32%,26%,10%,15%
H5832,Aetna Medicare,"AETNA HEALTH, INC. (PA)",Aetna Inc.,Not enough data available,84%,Not enough data available,Not enough data available,79%,No data available,Not enough data available,No data available,0:19,No data available,91%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,0.00%,0:19,0.0%,0.00%,No data available,96,No data available,No data available,0:18,98,No data available,No data available,No data available,No data available,No data available,No Data Available,No data available,No data available,No data available,No data available,No data available
H5852,AHF,AIDS HEALTHCARE FOUNDATION,AIDS Healthcare Foundation,Not enough data available,85%,61%,Not enough data available,100%,Not enough data available,Not enough data available,Not enough data available,0:03,90%,98%,4.00%,Not enough data available,Not enough data available,21%,1%,79%,42%,34%,97%,Not enough data available,51%,Not enough data available,100%,100.00%,4.88%,0:02,17.1%,1.05%,96%,100,No data available,Not enough data available,0:09,100,No data available,0.0%,55%,24%,No data available,5.21,No data available,No data available,No data available,No data available,No data available
H5854,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS, INC.",Anthem Inc.,Not enough data available,80%,Not enough data available,Not enough data available,89%,81%,Not enough data available,Not enough data available,0:48,70%,95%,1.50%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,100%,100.00%,1.50%,0:48,4.7%,0.00%,100%,103,No data available,Not enough data available,0:10,98,No data available,0.0%,42%,10%,95%,No Data Available,No data available,No data available,No data available,No data available,No data available
H5859,CareOregon Advantage,"HEALTH PLAN OF CAREOREGON, INC.","CareOregon, Inc.",57%,88%,50%,91%,91%,66%,25%,Not enough data available,0:09,70%,96%,0.00%,77%,91%,44%,7%,67%,51%,47%,94%,Not enough data available,48%,35%,100%,100.00%,0.00%,0:09,5.7%,0.13%,100%,101,22.22%,Not enough data available,0:02,98,0.0%,6.7%,41%,28%,99%,11.59,13%,32%,15%,9%,11%
H5883,Blue Care Network,BLUE CARE NETWORK OF MICHIGAN,Blue Cross Blue Shield of Michigan,77%,84%,62%,97%,91%,87%,49%,90%,0:20,73%,96%,0.00%,79%,80%,47%,4%,58%,43%,37%,81%,92%,47%,38%,83%,No data available,0.00%,0:20,4.8%,0.81%,100%,99,10.82%,86%,0:11,98,No data available,No data available,30%,10%,86%,CMS Found Issues with Plan's Data,20%,28%,31%,9%,11%
H5887,First +Plus,"MMM HEALTHCARE, LLC.",InnovaCare Inc.,75%,CMS Found Issues with Plan’s Data,27%,66%,93%,74%,43%,95%,0:12,17%,89%,1.32%,29%,52%,33%,2%,51%,48%,35%,71%,Not enough data available,65%,32%,No data available,No data available,1.32%,0:12,4.3%,0.07%,No data available,99,No data available,Not enough data available,0:05,97,No data available,13.3%,40%,32%,No data available,CMS Found Issues with Plan's Data,8%,23%,21%,11%,9%
H5926,Molina Healthcare of Michigan,"MOLINA HEALTHCARE OF MICHIGAN, INC.","Molina Healthcare, Inc.,",52%,90%,58%,98%,90%,59%,35%,90%,0:07,56%,96%,4.86%,67%,89%,40%,3%,66%,48%,51%,77%,Not enough data available,58%,32%,100%,100.00%,4.86%,0:07,5.4%,0.30%,100%,99,22.22%,79%,0:08,98,0.0%,0.0%,55%,41%,No data available,18.40,38%,44%,12%,20%,24%
H5928,Care1st Health Plan,CARE1ST HEALTH PLAN,Care1st Health Plan,40%,71%,50%,94%,87%,65%,22%,Not enough data available,0:01,62%,94%,2.82%,58%,79%,34%,2%,63%,50%,46%,79%,Not enough data available,64%,34%,88%,100.00%,2.82%,0:01,5.1%,0.19%,100%,98,12.50%,87%,0:07,98,0.0%,0.0%,54%,38%,95%,CMS Found Issues with Plan's Data,16%,20%,20%,17%,13%
H5932,Gateway Health Medicare Assured,"GATEWAY HEALTH PLAN, INC.","Gateway Health Plan, LP",53%,61%,36%,94%,92%,68%,29%,Not enough data available,1:14,65%,96%,0.47%,75%,86%,37%,4%,59%,50%,47%,91%,Not enough data available,43%,30%,100%,100.00%,0.47%,1:14,5.0%,0.34%,100%,98,25.08%,Not enough data available,0:12,95,13.3%,6.7%,59%,40%,No data available,2.90,27%,31%,26%,16%,14%
H5938,Capital Health Plan,CAPITAL HEALTH PLAN,Guidewell Mutual Holding Corporation,86%,86%,73%,91%,93%,91%,63%,92%,0:02,79%,98%,0.61%,79%,74%,64%,7%,66%,37%,45%,83%,92%,53%,42%,67%,No data available,0.61%,0:02,4.8%,0.42%,100%,98,33.33%,85%,0:06,97,No data available,0.0%,35%,11%,95%,1.53,No data available,No data available,No data available,No data available,No data available
H5943,VillageHealth,SCAN HEALTH PLAN,SCAN Health Plan,Not enough data available,60%,45%,Not enough data available,82%,Not enough data available,Not enough data available,Not enough data available,0:04,83%,100%,0.81%,Not enough data available,Not enough data available,34%,0%,62%,58%,35%,79%,Not enough data available,59%,Not enough data available,No data available,No data available,0.81%,0:04,4.0%,0.00%,100%,97,No data available,Not enough data available,0:17,99,No data available,0.0%,62%,60%,No data available,0.57,No data available,No data available,No data available,No data available,No data available
H5945,Prominence Health Plan,PROMINENCE HEALTHFIRST,"Universal Health Services, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5969,AlohaCare,ALOHACARE,AlohaCare,Not enough data available,82%,Not enough data available,Not enough data available,90%,55%,16%,No data available,0:03,No data available,91%,0.00%,Not enough data available,Not enough data available,24%,0%,No data available,No data available,No data available,No data available,No data available,No data available,36%,No data available,No data available,0.00%,0:03,6.0%,0.00%,100%,96,No data available,No data available,0:25,97,No data available,No data available,No data available,No data available,No data available,1.28,15%,23%,20%,10%,11%
H5970,Humana Insurance Company of New York,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Inc.,58%,93%,57%,100%,92%,82%,26%,90%,0:32,73%,97%,0.39%,74%,73%,38%,4%,57%,48%,40%,85%,Not enough data available,52%,34%,No data available,100.00%,0.39%,0:32,5.1%,0.54%,100%,99,13.95%,Not enough data available,0:04,99,No data available,No data available,51%,24%,96%,CMS Found Issues with Plan's Data,9%,18%,39%,6%,10%
H5985,Phoenix Health Plans,"PHOENIX HEALTH PLANS, INC.",Tenet Healthcare Corporation,59%,85%,45%,Not enough data available,89%,73%,27%,Not enough data available,0:07,67%,92%,0.00%,67%,81%,27%,3%,52%,37%,30%,86%,Not enough data available,49%,37%,100%,100.00%,0.00%,0:07,5.1%,0.98%,100%,96,No data available,Not enough data available,0:07,87,0.0%,6.7%,30%,11%,95%,CMS Found Issues with Plan's Data,20%,31%,14%,12%,17%
H5989,CenterLight Healthcare,"CENTERLIGHT HEALTHCARE, INC.","CenterLight Health System, Inc.",Not enough data available,77%,Not enough data available,Not enough data available,92%,Not enough data available,Not enough data available,No data available,0:09,No data available,100%,2.48%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,No data available,No data available,0.83%,0:30,9.3%,0.00%,100%,No data available,14.16%,No data available,0:24,99,No data available,0.0%,No data available,No data available,No data available,0.68,No data available,No data available,No data available,No data available,No data available
H5991,Affinity Health Plan,"AFFINITY HEALTH PLAN, INC.","Affinity Health Services Holdings, Inc.",42%,60%,78%,Not enough data available,88%,64%,41%,91%,0:03,53%,95%,0.00%,70%,90%,55%,7%,57%,59%,49%,91%,Not enough data available,58%,Not enough data available,No data available,No data available,0.62%,0:09,6.5%,0.18%,100%,100,No data available,Not enough data available,0:10,97,6.7%,0.0%,52%,53%,95%,7.08,24%,36%,13%,11%,16%
H5992,Senior Whole Health of New York,"SENIOR WHOLE HEALTH OF NEW YORK, INC.","SWH Holdings, Inc.",Not enough data available,68%,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,0:01,No data available,Not enough data available,0.94%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,0.94%,0:01,No data available,No data available,100%,No data available,No data available,No data available,0:11,91,No data available,No data available,No data available,No data available,No data available,No Data Available,No data available,No data available,No data available,No data available,No data available
H5995,ATRIO Health Plans,ATRIO HEALTH PLANS,ATRIO Health Plans,Not enough data available,89%,52%,Not enough data available,93%,63%,17%,90%,0:04,66%,94%,0.95%,75%,89%,28%,3%,57%,37%,36%,92%,Not enough data available,51%,45%,No data available,No data available,0.95%,0:04,5.7%,0.59%,100%,98,15.91%,Not enough data available,0:05,98,No data available,0.0%,25%,25%,No data available,0.74,No data available,No data available,No data available,No data available,No data available
H6050,Kaiser Permanente Medicare Cost,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",Not enough data available,56%,Not enough data available,Not enough data available,88%,No data available,Not enough data available,No data available,Not enough data available,No data available,79%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No Data Available,No data available,No data available,No data available,No data available,No data available
H6052,Kaiser Permanente Medicare Cost,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",Not enough data available,56%,Not enough data available,Not enough data available,95%,No data available,Not enough data available,92%,Not enough data available,85%,92%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,48%,47%,14%,94%,97%,61%,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,4.62,No data available,No data available,No data available,No data available,No data available
H6080,Meridian Complete,"MERIDIAN HEALTH PLAN OF ILLINOIS, INC.","Caidan Enterprises, Inc.",No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,0:01,44%,No data available,0.00%,No data available,No data available,No data available,No data available,Plan too new to be measured,37%,44%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6181,HealthPlus Amerigroup,"AMERIGROUP NEW YORK, LLC",Anthem Inc.,49%,85%,73%,Not enough data available,92%,62%,47%,Not enough data available,0:44,51%,93%,0.61%,74%,90%,68%,10%,57%,56%,50%,91%,Not enough data available,70%,32%,100%,No data available,0.61%,0:44,4.1%,0.39%,No data available,99,No data available,Not enough data available,0:16,99,6.7%,20.0%,45%,43%,90%,CMS Found Issues with Plan's Data,27%,30%,22%,18%,14%
H6229,Anthem Blue Cross Cal MediConnect,"BLUE CROSS OF CALIFORNIA PARTNERSHIP PLAN, INC.",Anthem Inc.,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,0:03,35%,No data available,1.85%,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6237,Regence BlueCross BlueShield of Oregon,REGENCE BLUECROSS BLUESHIELD OF OREGON,"Cambia Health Solutions, Inc.",Not enough data available,80%,Not enough data available,Not enough data available,90%,No data available,Not enough data available,No data available,0:05,No data available,97%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,100%,100.00%,0.00%,0:05,7.0%,No data available,100%,102,No data available,No data available,0:07,99,No data available,0.0%,No data available,No data available,91%,No Data Available,No data available,No data available,No data available,No data available,No data available
