2017 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organizatoin Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Appropriate Monitoring of Patients Taking Long-term Medications - DMC04,Osteoporosis Testing - DMC05,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC06,Doctors who Communicate Well - DMC07,Call Center – Beneficiary Hold Time - DMC08,Pneumonia Vaccine - DMC09,Access to Primary Care Doctor Visits - DMC10,Calls Disconnected When Customer Calls Health Plan  - DMC11,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC12,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC13,Initiation of Alcohol or other Drug Treatment - DMC14,Engagement of Alcohol or other Drug Treatment - DMC15,Reminders for Appointments - DMC16,Reminders for Immunizations - DMC17,Reminders for Screening Tests - DMC18,Computer Used during Office Visits - DMC19,Computer Use by Doctor Helpful - DMC20,Computer Use Made Talking with Doctor Easier - DMC21,Improving Bladder Control - DMC22,Medication Reconciliation Post Discharge - DMC23,Hospitalization for Potentially Preventable Complications - DMC24,Statin Therapy for Patients with Cardiovascular Disease - DMC25,Medication Management for People With Asthma - DMC26,Asthma Medication Ratio - DMC27,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan  - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD09,Getting Information from Drug Plan - DMD10,Call Center – Pharmacy Hold Time - DMD11,Plan Submitted Higher Prices for Display on MPF - DMD12,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD13,Transition monitoring - failure rate for all other drugs - DMD14,Reminders to Fill prescriptions - DMD15,Reminders to Take Medications - DMD16,Statin Use in Persons with Diabetes (SUPD) - DMD17,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07"
H6308,AgeWell New York FIDA Plan,"AGEWELL NEW YORK, LLC","ParkerCare New York, LLC",Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,0:07,No data available,Not enough data available,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,Insufficient data,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,2.36%,0:35,No data available,No data available,100%,No data available,No data available,No data available,0:20,99,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H6320,Fresenius Health Plans,"FRESENIUS HEALTH PLANS OF NORTH CAROLINA, INC.",Fresenius Medicare Care AG & Co. KGaA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,0:02,Plan too new to be measured,Plan too new to be measured,2.41%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6328,Care NÆ Care Insurance Company,"CARE N' CARE INSURANCE COMPANY, INC.",North Texas Specialty Physicians,Not enough data available,56%,97%,93%,84%,48%,91%,0:16,76%,95%,1.56%,46%,54%,26%,4%,49%,33,32,86,Not enough data available,49,52%,3%,89,76%,36%,91%,33%,86.67%,0.79%,0:10,5%,0.53%,100%,99,33.33%,87,0:09,98,0.0%,6.7%,29,12,77%,88%,1.27,23%,47%,20%,8%,13%
H6360,HealthSpan,HEALTHSPAN INTEGRATED CARE,Catholic Health Partners,69%,73%,80%,94%,83%,48%,90%,Not enough data available,87%,95%,Not enough data available,63%,75%,28%,1%,57%,42,28,96,94,51,52%,18%,36,82%,Not enough data available,Not enough data available,0%,No data available,No data available,No data available,5%,0.97%,100%,96,19.78%,82,No data available,94,No data available,0.0%,15,14,87%,No data available,CMS identified issues with this plan's data,No data available,No data available,No data available,No data available,No data available
H6361,"Today's Options of New York, Inc.","TODAY'S OPTIONS OF NEW YORK, INC.",Universal American Corp.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,0:12,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6396,CareSource,CARESOURCE,CareSource Management Group Co.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6435,RiverSpring FIDA Plan,"ELDERSERVE HEALTH, INC.",Riverspring Health Holding Corp.,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,0:09,No data available,Not enough data available,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,Insufficient data,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:31,No data available,No data available,96%,No data available,No data available,No data available,0:25,42,No data available,No data available,No data available,No data available,No data available,No data available,CMS identified issues with this plan's data,No data available,No data available,No data available,No data available,No data available
H6453,HMO Louisiana,"HMO LOUISIANA, INC.",Louisiana Health Service & Indemnity Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,0:06,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6528,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",24%,49%,91%,91%,62%,33%,89%,0:18,68%,96%,2.10%,75%,74%,34%,2%,60%,53,42,82,Not enough data available,50,44%,8%,70,72%,51%,59%,100%,No data available,2.10%,0:18,6%,0.52%,100%,99,14.55%,Not enough data available,0:10,98,No data available,No data available,43,26,73%,97%,3.15,12%,13%,36%,9%,13%
H6609,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,53%,58%,93%,92%,75%,33%,91%,0:56,74%,97%,1.97%,76%,79%,33%,2%,61%,47,40,82,Not enough data available,57,44%,10%,56,76%,62%,76%,91%,81.82%,1.97%,0:56,5%,0.61%,100%,99,16.08%,84,0:04,98,6.7%,6.7%,47,28,75%,97%,CMS identified issues with this plan's data,18%,24%,41%,11%,12%
H6622,Humana WI Health Organization Insurance Corp,HUMANA WI HEALTH ORGANIZATION INSURANCE CORP,Humana Inc.,54%,54%,89%,95%,75%,37%,92%,0:38,78%,97%,2.78%,79%,85%,21%,2%,67%,56,46,94,93,60,46%,20%,35,72%,55%,73%,100%,No data available,2.78%,0:38,4%,1.25%,100%,99,11.11%,83,0:04,99,0.0%,6.7%,50,30,80%,96%,CMS identified issues with this plan's data,21%,19%,23%,9%,18%
H6623,Maricopa Care Advantage,MARICOPA COUNTY SPECIAL HEALTH CARE DISTRICT,MARICOPA COUNTY SPECIAL HEALTH CARE DISTRICT,19%,61%,Not enough data available,91%,60%,Not enough data available,Not enough data available,0:23,68%,93%,0.00%,74%,82%,28%,1%,63%,45,49,87,Not enough data available,54,Not enough data available,1%,Insufficient data,89%,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:23,5%,0.00%,100%,100,No data available,Not enough data available,0:13,98,No data available,0.0%,40,30,74%,No data available,5.29,No data available,No data available,No data available,No data available,No data available
H6672,Eon Health,"EON HEALTH, INC. (GA)","Eon Health Plan, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6723,Medical Mutual of Ohio,MEDICAL MUTUAL OF OHIO,MEDICAL MUTUAL OF OHIO,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,0:49,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6743,ATRIO Health Plans,ATRIO HEALTH PLANS,ATRIO Health Plans,Not enough data available,57%,87%,90%,73%,21%,87%,0:15,76%,94%,0.00%,78%,77%,28%,3%,48%,28,23,84,Not enough data available,43,45%,6%,45,70%,57%,67%,50%,100.00%,0.00%,0:15,6%,0.53%,100%,100,No data available,Not enough data available,0:02,98,0.0%,0.0%,13,11,68%,97%,2.23,11%,7%,24%,6%,4%
H6745,Amida Care,AMIDA CARE INC.,Amida Care Inc.,Not enough data available,Not enough data available,Not enough data available,87%,No data available,Not enough data available,No data available,1:07,No data available,88%,0.00%,Not enough data available,Not enough data available,39%,13%,No data available,No data available,No data available,No data available,No data available,No data available,No data available,0%,Insufficient data,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:15,12%,0.00%,100%,99,No data available,No data available,0:20,100,No data available,0.0%,No data available,No data available,60%,100%,CMS identified issues with this plan's data,No data available,No data available,No data available,No data available,No data available
H6750,"Harvard Pilgrim Health Care of New England, Inc.","HARVARD PILGRIM HEALTH CARE OF NEW ENGLAND, INC.","Harvard Pilgrim Health Care, Inc.",Not enough data available,Not enough data available,Not enough data available,94%,86%,Not enough data available,93%,0:47,84%,94%,0.78%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,54%,33,34,93,Not enough data available,50,47%,4%,Insufficient data,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.78%,0:47,3%,2.22%,100%,101,No data available,Not enough data available,0:04,98,No data available,0.0%,42,8,83%,95%,5.44,41%,40%,18%,7%,18%
H6751,Cigna-HealthSpring,"HEALTHSPRING OF TENNESSEE, INC.",CIGNA,49%,56%,Not enough data available,90%,No data available,Not enough data available,Not enough data available,0:16,59%,85%,4.03%,70%,86%,43%,4%,60%,51,46,94,Not enough data available,54,No data available,12%,Insufficient data,Not enough data available,Not enough data available,Not enough data available,50%,50.00%,4.03%,0:16,6%,1.31%,100%,100,20.40%,Not enough data available,0:05,99,0.0%,13.3%,47,35,77%,No data available,6.23,No data available,No data available,No data available,No data available,No data available
H6776,RiverSpring Health Plans,"ELDERSERVE HEALTH, INC.",Riverspring Health Holding Corp.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,0:05,Plan too new to be measured,Plan too new to be measured,0.80%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
