2020 Domain Star View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",HD2: Managing Chronic (Long Term) Conditions,HD3: Member Experience with Health Plan,HD4: Member Complaints and Changes in the Health Plan's Performance,HD5: Health Plan Customer Service,DD1: Drug Plan Customer Service,DD2: Member Complaints and Changes in the Drug Plan’s Performance,DD3: Member Experience with the Drug Plan,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6910,Local CCP,"Mount Carmel Health Plan Of Idaho, Inc.",MediGold,Trinity Health,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6936,Local CCP,"Blue Cross & Blue Shield Of Arizona, Inc.",Blue Cross Blue Shield of Arizona,Blue Cross Blue Shield of Arizona,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6959,Local CCP,"Isnp Ventures, Llc",KeyCare Advantage,"ISNP Holdings, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6975,Local CCP,"Wellcare Of Alabama, Inc.",WellCare,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6988,Local CCP,"Centers Plan For Healthy Living, Llc",Centers Plan for Healthy Living,"Centers Plan for Healthy Living, LLC",3,4,1,3,3,4,3,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7006,Local CCP,Atrio Health Plans,ATRIO Health Plans,ATRIO Health Plans,4,3,5,4,4,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7020,Local CCP,"Cigna Healthcare Of South Carolina, Inc.",Cigna,CIGNA,3,3,4,4,5,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7063,Local CCP,"Bluecross Blueshield Kansas Solutions, Inc.",Blue Cross and Blue Shield of Kansas,Blue Cross Blue Shield of Kansas,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7115,Local CCP,Memorial Hermann Health Plan,Memorial Hermann Health Plan,Memorial Hermann Health System,4,3,4,4,4,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7119,Local CCP,Provider Partners Health Plan Of Ohio,Provider Partners Ohio Advantage Plan,"Rifkin Managed Care Holding Company, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7123,Local CCP,"Upmc Health Coverage, Inc.",UPMC for Life Dual,UPMC Health System,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7149,Local CCP,Aetna Health Inc. (pa),Aetna Medicare,CVS Health Corporation,3,4,4,4,Not enough data available,5,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7165,Local CCP,Bluecross And Blueshield Of South Carolina,Blue Cross Blue Shield of South Carolina,BlueCross BlueShield of South Carolina (BCBSSC),Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7172,Demo,"Aetna Better Health, Inc. (oh)","Aetna Better Health of Ohio, MyCare Ohio",CVS Health Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7173,Local CCP,"Peach State Health Plan, Inc.",Allwell,Centene Corporation,3,3,2,3,Not enough data available,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7175,Local CCP,"Wellcare Health Insurance Of North Carolina, Inc.",WellCare,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7220,Local CCP,"Indiana University Health Plans Nfp, Inc.",Indiana University Health Plans - Medicare,Indiana University Health,4,3,5,5,4,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7245,Local CCP,Premera Blue Cross,Premera Blue Cross Medicare Advantage,Premera,4,3,3,4,4,5,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7284,Local CCP,"Humana Health Insurance Company Of Florida, Inc.",Humana,Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7301,Local CCP,"Coventry Health Care Of Illinois, Inc.",Aetna Medicare,CVS Health Corporation,3,4,5,5,5,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7317,Local CCP,Hawaii Medical Service Association (hmsa),HMSA Essential Advantage,Hawaii Medical Service Association,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7322,Local CCP,"Oscar Health Plan Of New York, Inc.",Oscar,"Mulberry Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7323,Local CCP,Wellcare National Health Insurance Company,WellCare,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7326,Local CCP,"Wellcare Of South Carolina, Inc.",WellCare,"WellCare Health Plans, Inc.",Not enough data available,Not enough data available,2,3,Not enough data available,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7330,Local CCP,"Zing Health, Inc.",Zing Health,"Zing Health Holdings, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7394,Local CCP,"Apex Health, Inc.","ApexHealth, Inc.","J.B. Cotton & Company, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7399,Local CCP,Centene Venture Company Illinois,Ascension Complete,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7404,Local CCP,Pacificare Life Assurance Company,UnitedHealthcare,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7409,Local CCP,"Bright Health Company Of South Carolina, Inc.",Bright Health,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7419,Demo,"Tufts Health Public Plans, Inc.",Tufts Health Plan,"Tufts Health Plan, Inc",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7445,Local CCP,"Unitedhealthcare Of Illinois, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7464,Local CCP,"Unitedhealthcare Of The Mid-atlantic, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",Not enough data available,4,3,4,Not enough data available,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7511,Local CCP,"Good Samaritan Insurance Plan Of Nebraska, Inc.",Great Plains Medicare Advantage,Sanford Health,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7518,Local CCP,Wellcare Of Missouri Health Insurance Company,WellCare,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7522,Local CCP,"Mmm Healthcare, Llc",Medicare y Mucho Mßs,InnovaCare Inc.,3,3,3,4,Not enough data available,5,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7559,Local CCP,"Magellan Complete Care Of Virginia, Llc",Magellan Complete Care,"Magellan Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7617,Local CCP,Emphesys Insurance Company,Humana,Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7621,Local CCP,"Humana Health Plan Of California, Inc.",Humana,Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7646,Local CCP,Php Medicare,PHP Medicare,Sparrow Health System,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7678,Local CCP,"Molina Healthcare Of Texas, Inc.","Molina Healthcare of Texas, Inc.","Molina Healthcare, Inc.,",3,3,3,3,5,5,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7680,Local CCP,Prominence Healthfirst Of Texas,Prominence Health Plan,"Universal Health Services, Inc.",3,2,1,3,Not enough data available,5,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7728,Local CCP,"Anthem Health Plans Of New Hampshire, Inc.",Anthem Blue Cross and Blue Shield,Anthem Inc.,4,3,4,3,4,5,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7779,Local CCP,"American Health Plan, Inc.",American Health Advantage of Tennessee,"American Health Companies, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7787,Local CCP,"Healthspring Life & Health Insurance Company, Inc.",Cigna,CIGNA,3,4,3,4,4,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7802,Local CCP,"Spartan Plan Va, Inc.",Sunrise Advantage Plan,Public Sector Pension Investment Board,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7833,Demo,"Unitedhealthcare Community Plan Of Texas, L.l.c.",UnitedHealthcare,"UnitedHealth Group, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7844,Demo,"Molina Healthcare Of Michigan, Inc.",Molina Healthcare of Michigan,"Molina Healthcare, Inc.,",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7849,Local CCP,Cigna Health And Life Insurance Company,Cigna,CIGNA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7853,Local CCP,Bright Health Insurance Company,Bright Health,"Bright Health, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7885,Demo,San Mateo Health Commission,Health Plan of San Mateo,Health Plan of San Mateo,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7890,Demo,Santa Clara County Health Authority,Santa Clara Family Health Plan Cal MediConnect,SANTA CLARA COUNTY HEALTH AUTHORITY,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7917,Local CCP,"Bluecross Blueshield Of Tennessee, Inc.",BlueCross BlueShield of Tennessee,BlueCross BlueShield of Tennessee,4,3,5,5,5,4,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7971,Local CCP,Horizon Insurance Company,Horizon Blue Cross Blue Shield of New Jersey,"Horizon Healthcare Services, Inc.",3,4,3,5,4,Not enough data available,5,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7993,Local CCP,Devoted Health Plan Of Texas,Devoted Health,"Devoted Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8003,Local CCP,Bluecross And Blueshield Of South Carolina,Blue Cross Blue Shield of South Carolina,BlueCross BlueShield of South Carolina (BCBSSC),3,3,3,4,Not enough data available,5,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8010,Local CCP,"Clover Hmo Of New Jersey, Inc.",Clover Health,"Clover Health Holdings, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8016,Demo,Orange County Health Authority,OneCare Connect,Orange County Health Authority,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8026,Demo,Aetna Better Health Of Michigan Inc.,Aetna Better Health Premier Plan,CVS Health Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8046,Demo,"Molina Healthcare Of Illinois, Inc.",Molina Healthcare of Illinois,"Molina Healthcare, Inc.,",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8064,Local CCP,Firstcarolinacare Insurance Company,FirstMedicare Direct,"FirstHealth of the Carolinas, Inc.",4,Not enough data available,4,5,Not enough data available,4,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8067,Local CCP,"Provider Partners Health Plan, Inc.",Provider Partners Maryland Advantage Plan,"Rifkin Managed Care Holding Company, LLC",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8087,Local CCP,Humanadental Insurance Company,Humana,Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8093,Local CCP,"Georgia Assurance, Inc.",Georgia Assurance,"American Health Companies, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8125,Local CCP,"Symphonix Health Insurance, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
