2020 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Osteoporosis Testing - DMC04,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC05,Doctors who Communicate Well - DMC06,Call Center – Beneficiary Hold Time - DMC07,Pneumonia Vaccine - DMC08,Access to Primary Care Doctor Visits - DMC09,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC10,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC11,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC12,Initiation of Alcohol or other Drug Treatment - DMC13,Engagement of Alcohol or other Drug Treatment - DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Plan Makes Timely Decisions about Appeals - DMC16,Controlling High Blood Pressure - DMC17,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC18,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC19,Transitions of Care - Notification of Inpatient Admission - DMC20,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC21,Transitions of Care - Receipt of Discharge Information - DMC22,Transitions of Care - Average - DMC23,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Call Center – Pharmacy Hold Time - DMD09,Plan Submitted Higher Prices for Display on MPF - DMD10,Reminders to Fill Prescriptions - DMD11,Reminders to Take Medications - DMD12,High Risk Medication - DMD13,Antipsychotic Use in Persons with Dementia - DMD14,Antipsychotic Use in Persons with Dementia - for Community-Only Residents - DMD15,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD16,Use of Opioids at High Dosage and from Multiple Providers - DMD17,MPF Price Accuracy - DMD18,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H5703,South Country Health Alliance,South Country Health Alliance,South Country Health Alliance,Not enough data available,76%,Not enough data available,Not enough data available,Not enough data available,No data available,00:29,No data available,99%,0.00%,Not enough data available,Not enough data available,30%,7%,No data available,Not enough data available,81%,69%,52%,30%,91%,12%,46%,No data available,No data available,0.00%,00:29,4%,0.00%,96%,101,00:04,88,No data available,No data available,No data available,No data available,No data available,No data available,0.00,90,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H5742,FirstCare Advantage,"Sha, Llc",Baylor Scott & White Holdings,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:24,Plan too new to be measured,Plan too new to be measured,10.08%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,10.08%,00:24,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:05,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5746,Amerigroup Community Care of New Mexico,"Amerigroup Community Care Of New Mexico, Inc.",Anthem Inc.,Not enough data available,38%,Not enough data available,66%,28%,Not enough data available,01:04,62%,89%,1.50%,Not enough data available,Not enough data available,27%,4%,22,Not enough data available,63%,55%,49%,18%,86%,26%,45%,No data available,No data available,1.50%,01:04,4%,0.14%,100%,98,00:04,85,47%,40%,6%,8%,6%,No data available,0.00,81,1.69,26%,28%,33%,Not Available,18%,60
H5774,Triple S Advantage,"Triple S Advantage, Inc.",Triple-S Management Corporation,78%,39%,85%,83%,28%,93,00:24,33%,98%,3.91%,45%,64%,6%,1%,43,100%,83%,44%,67%,0%,80%,0%,37%,92%,100.00%,3.91%,00:24,3%,0.18%,100%,100,00:08,-117,64%,58%,5%,14%,14%,No data available,0.13,100,0.69,25%,24%,27%,25%,16%,100
H5779,WellCare,"Meridian Health Plan Of Illinois, Inc.","WellCare Health Plans, Inc.",Not enough data available,41%,Not enough data available,66%,Not enough data available,92,00:47,63%,95%,0.63%,56%,84%,32%,0%,53,100%,71%,51%,78%,1%,79%,3%,40%,No data available,No data available,0.63%,00:47,3%,0.10%,100%,101,00:08,54,52%,40%,9%,7%,7%,No data available,0.00,93,2.22,24%,44%,12%,10%,18%,80
H5793,Aetna Medicare,Aetna Health Inc. (ct),CVS Health Corporation,43%,61%,91%,84%,41%,91,01:05,70%,96%,0.51%,76%,91%,33%,8%,30,100%,75%,53%,70%,8%,76%,7%,40%,100%,100.00%,0.51%,01:05,2%,0.80%,100%,100,00:26,96,53%,27%,7%,11%,11%,12%,0.83,97,3.52,13%,5%,25%,9%,8%,100
H5810,Molina Healthcare of California,Molina Healthcare Of California,"Molina Healthcare, Inc.,",Not enough data available,40%,Not enough data available,60%,20%,91,00:08,54%,95%,2.33%,Not enough data available,Not enough data available,44%,6%,55,Not enough data available,74%,49%,51%,10%,83%,4%,37%,No data available,No data available,2.33%,00:08,2%,0.00%,100%,101,00:21,94,51%,56%,7%,14%,14%,No data available,0.00,94,6.07,Not Available,Not Available,Not Available,Not Available,Not Available,100
H5823,"Molina Healthcare of Washington, Inc.","Molina Healthcare Of Washington, Inc.","Molina Healthcare, Inc.,",31%,50%,Not enough data available,63%,21%,89,00:09,65%,94%,2.33%,70%,83%,34%,4%,34,100%,78%,48%,44%,12%,73%,9%,35%,100%,100.00%,2.33%,00:09,3%,0.25%,100%,102,00:21,93,50%,42%,12%,15%,15%,17%,1.61,93,7.31,25%,40%,12%,Not Available,12%,100
H5826,Community Health Plan of WA Medicare Advantage,Community Health Plan Of Washington,Community Health Plan of Washington,41%,54%,Not enough data available,52%,28%,Not enough data available,00:12,61%,96%,0.77%,74%,85%,33%,5%,32,100%,70%,64%,52%,27%,87%,12%,44%,100%,No data available,0.77%,00:12,2%,0.44%,100%,100,00:04,88,42%,41%,8%,9%,9%,No data available,0.00,76,10.32,16%,27%,21%,9%,9%,60
H5841,Bright Health,Bright Health Insurance Company,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5852,AHF,Aids Healthcare Foundation,AIDS Healthcare Foundation,Not enough data available,68%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,00:31,89%,98%,2.36%,Not enough data available,Not enough data available,26%,4%,No data available,Not enough data available,61%,44%,58%,18%,87%,0%,41%,No data available,No data available,0.00%,00:25,7%,0.00%,100%,100,00:04,93,80%,79%,11%,No data available,No data available,No data available,0.00,97,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,80
H5854,Anthem Blue Cross and Blue Shield,"Anthem Health Plans, Inc.",Anthem Inc.,64%,57%,91%,79%,46%,94,00:38,68%,97%,0.39%,79%,86%,40%,7%,58,95%,63%,61%,58%,9%,89%,17%,43%,100%,100.00%,0.39%,00:38,3%,0.30%,100%,100,00:04,87,55%,38%,9%,11%,10%,15%,0.26,82,1.44,11%,14%,14%,11%,10%,60
H5859,CareOregon Advantage,"Health Plan Of Careoregon, Inc.","CareOregon, Inc.",51%,51%,93%,66%,21%,Not enough data available,00:08,60%,96%,0.78%,73%,92%,38%,5%,45,100%,82%,62%,81%,58%,84%,51%,68%,100%,No data available,0.78%,00:08,3%,0.07%,100%,100,00:09,89,48%,43%,10%,13%,13%,12%,1.26,92,7.62,14%,25%,8%,Not Available,6%,80
H5883,Blue Care Network,Blue Care Network Of Michigan,Blue Cross Blue Shield of Michigan Mutual Ins. Co.,62%,61%,92%,82%,44%,91,00:25,77%,96%,0.78%,83%,80%,46%,7%,29,99%,74%,60%,48%,15%,85%,0%,37%,90%,100.00%,0.78%,00:25,3%,0.84%,100%,99,00:04,91,45%,22%,9%,10%,10%,11%,0.55,79,0.91,17%,23%,36%,9%,10%,100
H5926,Molina Healthcare of Michigan,"Molina Healthcare Of Michigan, Inc.","Molina Healthcare, Inc.,",64%,45%,88%,66%,29%,91,00:10,50%,96%,1.57%,68%,88%,36%,3%,46,96%,64%,53%,36%,8%,81%,4%,32%,100%,No data available,1.57%,00:10,3%,0.16%,100%,102,00:21,93,61%,54%,12%,6%,6%,8%,0.00,94,12.88,24%,28%,17%,19%,16%,100
H5928,Blue Shield of California Promise Health Plan,Blue Shield Of California Promise Health Plan,California Physicians' Service,28%,58%,85%,65%,36%,90,02:04,64%,94%,0.77%,65%,82%,62%,5%,24,93%,74%,49%,48%,1%,77%,0%,32%,95%,100.00%,0.77%,02:04,2%,0.09%,81%,101,00:11,92,61%,52%,6%,7%,6%,8%,0.00,98,9.26,16%,41%,12%,Not Available,17%,80
H5932,Gateway Health Medicare Assured,"Gateway Health Plan, Inc.","Gateway Health Plan, LP",39%,45%,92%,65%,25%,Not enough data available,00:38,58%,96%,0.00%,72%,86%,37%,5%,68,97%,65%,52%,58%,13%,84%,7%,41%,82%,100.00%,0.00%,00:38,4%,0.20%,96%,99,01:09,97,63%,56%,12%,12%,11%,13%,1.07,84,3.74,14%,22%,11%,11%,12%,80
H5937,UCare,Ucare Minnesota,UCare Minnesota,75%,59%,Not enough data available,No data available,Not enough data available,Not enough data available,00:38,46%,97%,2.34%,68%,95%,38%,6%,No data available,Not enough data available,69%,65%,44%,23%,83%,9%,40%,No data available,No data available,2.34%,00:38,3%,0.76%,100%,100,00:04,86,57%,39%,No data available,No data available,No data available,No data available,4.73,76,3.56,Not Available,Not Available,Not Available,Not Available,Not Available,60
H5938,Capital Health Plan,Capital Health Plan,Guidewell Mutual Holding Corporation,54%,73%,93%,90%,46%,92,00:17,79%,98%,0.00%,72%,81%,59%,2%,40,100%,80%,58%,67%,48%,85%,12%,53%,100%,100.00%,0.00%,00:17,3%,0.22%,100%,99,00:04,92,46%,21%,8%,10%,9%,22%,0.00,93,CMS identified issues with this plan's data,16%,29%,27%,9%,8%,100
H5943,VillageHealth,Scan Health Plan,SCAN Health Plan,Not enough data available,42%,85%,Not enough data available,21%,Not enough data available,00:19,72%,100%,0.79%,Not enough data available,Not enough data available,47%,4%,35,100%,100%,48%,53%,0%,83%,2%,35%,No data available,No data available,0.79%,00:19,6%,0.55%,100%,99,00:04,81,72%,71%,9%,5%,6%,No data available,0.00,78,2.02,Not Available,Not Available,Not Available,Not Available,Not Available,60
H5945,Prominence Health Plan,Prominence Healthfirst,"Universal Health Services, Inc.",Not enough data available,64%,Not enough data available,74%,31%,89,01:17,79%,94%,4.20%,78%,82%,15%,3%,31,93%,67%,52%,45%,10%,82%,8%,36%,No data available,No data available,4.20%,01:17,2%,0.32%,100%,101,00:05,91,45%,19%,6%,9%,9%,No data available,0.00,98,CMS identified issues with this plan's data,30%,23%,21%,13%,16%,80
H5959,Blue Cross Blue Shield of Minnesota,Blue Cross And Blue Shield Of Minnesota,"Aware Integrated, Inc.",Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,00:42,No data available,93%,2.36%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,73%,Not enough data available,38%,27%,89%,3%,39%,100%,No data available,2.36%,00:42,1%,1.24%,100%,104,00:04,94,No data available,No data available,4%,No data available,No data available,No data available,0.00,96,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,80
H5965,WellCare,Wellcare Health Insurance Company Of Washington,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5969,AlohaCare,Alohacare,AlohaCare,Not enough data available,58%,Not enough data available,53%,21%,Not enough data available,01:01,50%,92%,2.33%,70%,84%,41%,4%,41,Not enough data available,60%,57%,42%,38%,81%,25%,46%,No data available,No data available,2.33%,01:01,2%,0.13%,100%,100,00:04,86,67%,49%,7%,9%,11%,No data available,0.00,77,CMS identified issues with this plan's data,Not Available,Not Available,Not Available,Not Available,Not Available,60
H5970,Humana,Humana Insurance Company Of New York,Humana Inc.,74%,67%,Not enough data available,81%,31%,Not enough data available,00:17,78%,95%,1.62%,80%,86%,46%,9%,54,97%,76%,59%,46%,3%,89%,1%,35%,100%,No data available,1.62%,00:17,2%,0.25%,100%,100,00:10,93,59%,28%,8%,13%,12%,17%,0.00,97,0.74,26%,30%,28%,13%,16%,100
H5989,CenterLight Healthcare,"Centerlight Healthcare, Inc.","CenterLight Health System, Inc.",Not enough data available,Not enough data available,Not enough data available,Plan too small to be measured,Not enough data available,No data available,00:08,No data available,100%,0.79%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,15%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.79%,00:08,2%,0.87%,100%,No data available,00:05,-90,No data available,No data available,6%,5%,No data available,5%,0.00,100,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,80
H5991,EmblemHealth Medicare HMO,Health Insurance Plan Of Greater New York,"EmblemHealth, Inc.",44%,52%,91%,68%,45%,Not enough data available,00:18,51%,95%,8.66%,73%,88%,43%,8%,37,90%,85%,52%,81%,0%,93%,0%,44%,100%,No data available,8.66%,00:18,2%,0.01%,100%,102,00:04,95,61%,49%,7%,10%,9%,No data available,0.00,97,8.01,24%,33%,11%,Not Available,14%,80
H5992,Senior Whole Health of New York,"Senior Whole Health Of New York, Inc.","Magellan Health, Inc.",Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,00:08,No data available,99%,5.47%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,15%,0%,91%,0%,26%,No data available,No data available,5.47%,00:08,No data available,No data available,100%,104,00:04,91,No data available,No data available,10%,No data available,No data available,No data available,No data available,75,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,60
H5995,ATRIO Health Plans,Atrio Health Plans,ATRIO Health Plans,Not enough data available,57%,Not enough data available,55%,21%,Not enough data available,00:43,55%,96%,0.00%,78%,91%,28%,1%,37,100%,71%,57%,45%,3%,86%,1%,34%,No data available,No data available,0.00%,00:43,4%,0.24%,100%,100,00:02,92,40%,42%,13%,20%,20%,23%,0.00,98,CMS identified issues with this plan's data,Not Available,Not Available,Not Available,Not Available,Not Available,100
H6080,MeridianComplete,"Meridian Health Plan Of Illinois, Inc.","WellCare Health Plans, Inc.",37%,44%,Not enough data available,Not enough data available,21%,Not enough data available,00:42,40%,84%,0.00%,54%,93%,42%,8%,48,94%,46%,46%,18%,0%,46%,0%,16%,100%,No data available,0.00%,00:42,2%,0.48%,100%,101,00:08,58,66%,58%,7%,11%,5%,13%,0.00,93,1.10,Not Available,Not Available,Not Available,Not Available,Not Available,80
H6121,Bright Health,Bright Health Insurance Company Of Illinois,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6154,Medica,Medica Health Plans,Medica Holding Company,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,00:15,No data available,89%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,67%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,00:15,4%,No data available,100%,No data available,00:21,94,No data available,No data available,5%,No data available,No data available,No data available,No data available,75,CMS identified issues with this plan's data,9%,31%,21%,Not Available,6%,80
H6229,Anthem Blue Cross Cal MediConnect,"Blue Cross Of California Partnership Plan, Inc.",Anthem Inc.,Not enough data available,52%,Not enough data available,50%,31%,Not enough data available,03:31,69%,71%,0.78%,62%,79%,9%,1%,32,100%,68%,45%,41%,1%,59%,1%,25%,0%,No data available,0.78%,03:31,2%,0.18%,100%,No data available,00:04,83,56%,41%,8%,8%,8%,8%,0.00,89,3.92,Not Available,Not Available,Not Available,Not Available,Not Available,60
