2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC04,Doctors who Communicate Well - DMC05,Call Center – Beneficiary Hold Time - DMC06,Pneumonia Vaccine - DMC07,Access to Primary Care Doctor Visits - DMC08,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC09,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC10,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC11,Initiation of Alcohol or other Drug Treatment - DMC12,Engagement of Alcohol or other Drug Treatment - DMC13,Hospitalization for Potentially Preventable Complications - DMC14,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC15,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC16,Transitions of Care - Notification of Inpatient Admission - DMC17,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC18,Transitions of Care - Receipt of Discharge Information - DMC19,Transitions of Care - Average - DMC20,Plan All-Cause Readmissions (18+) - DMC21,Plan All-Cause Readmissions (18-64) - DMC22,Plan All-Cause Readmissions (65+) - DMC23,Physical Functioning Activities of Daily Living - DMC24,Care of Older Adults - Functional Status - DMC25,Kidney Health Evaluation for Patients With Diabetes - DMC26,Improving or Maintaining Physical Health - DMC27,Improving or Maintaining Mental Health - DMC28,Cardiac Rehabiliation - Acheivement - DMC29,Cardiac Rehabiliation - Engagement 1 - DMC30,Cardiac Rehabiliation - Engagement 2 - DMC31,Cardiac Rehabilation - Initiation - DMC32,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD01,Call Center – Beneficiary Hold Time - DMD02,MPF – Stability - DMD03,Call Center – Pharmacy Hold Time - DMD04,Plan Submitted Higher Prices for Display on MPF - DMD05,Reminders to Fill Prescriptions - DMD06,Reminders to Take Medications - DMD07,Antipsychotic Use in Persons with Dementia - DMD08,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD09,Concurrent Use of Opioids and Benzodiazepines - DMD10,Use of Opioids at High Dosage in Persons Without Cancer - DMD11,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD12,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD13,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD14,Initial Opioid Prescribing (IOP-LD) - DMD15,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H6870,Superior HealthPlan,"SUPERIOR HEALTHPLAN, INC.",Centene Corporation,53%,55%,Not enough data available,21%,No data available,0:09,52%,89%,1.23%,78%,94%,35%,4%,17%,51%,41%,9%,76%,4%,33%,11%,12%,10%,89%,Plan not required to report measure,34%,74%,86%,0%,0%,2%,0%,1.23%,0:09,103,0:12,95,64%,57%,4%,2%,16.78%,1.28%,0.00%,9.03%,16.14%,27.24%,0.1,Not Available,Not Available,Not Available,Not Available,Not Available,100
H6874,Aspirus Health Plan,"ASPIRUS HEALTH PLAN, INC.","Aspirus, Inc.",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:08,Plan too small to be measured,Plan too small to be measured,2.20%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan not required to report measure,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,2.20%,0:08,86,0:48,48,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,13.13%,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H6891,American Health Advantage of Texas,"AMERICAN HEALTH PLAN OF TX, INC.",Mitchell Family Office,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:38,Plan too small to be measured,Plan too small to be measured,1.06%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,100%,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,1.06%,0:38,No data available,0:02,78,Plan too new to be measured,Plan too new to be measured,2%,1%,30.78%,0.00%,0.00%,25.65%,36.93%,69.23%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H6898,Vermont Blue Advantage,"VERMONT BLUE ADVANTAGE, INC.",Blue Cross Blue Shield of Michigan Mutual Ins. Co.,Not enough data available,90%,Not enough data available,Not enough data available,92,0:08,83%,96%,3.30%,Not enough data available,Not enough data available,33%,13%,Not enough data available,Not enough data available,56%,32%,85%,20%,48%,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,Plan not required to report measure,40%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,3.19%,0:13,100,0:48,47,43%,18%,9%,No data available,14.48%,5.19%,0.00%,8.33%,6.15%,10.80%,2.84,Not Available,Not Available,Not Available,Not Available,Not Available,100
H6910,Saint Alphonsus Health Plan,"MOUNT CARMEL HEALTH PLAN OF IDAHO, INC.",Trinity Health Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,0:23,82%,96%,0.98%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,60%,67%,0%,90%,1%,40%,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,Plan not required to report measure,51%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0.98%,0:23,100,1:01,88,50%,15%,14%,No data available,8.67%,12.70%,0.00%,5.43%,12.12%,18.78%,5.67,Not Available,Not Available,Not Available,Not Available,Not Available,100
H6936,Blue Cross Blue Shield of Arizona,"BLUE CROSS & BLUE SHIELD OF ARIZONA, INC.",Blue Cross Blue Shield of Arizona,Not enough data available,71%,Not enough data available,30%,Plan too new to be measured,0:20,80%,96%,3.03%,Not enough data available,Not enough data available,23%,2%,9%,69%,60%,23%,90%,25%,50%,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,Plan not required to report measure,63%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,3.03%,0:20,100,0:17,92,42%,21%,10%,No data available,11.37%,11.89%,0.39%,5.65%,10.50%,3.86%,13.84,25%,34%,18%,Not Available,14%,80
H6959,KeyCare Advantage,"ISNP VENTURES, LLC","ISNP Holdings, LLC",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:13,Plan too small to be measured,Plan too small to be measured,0.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,99%,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0.00%,0:13,No data available,2:08,57,Plan too new to be measured,Plan too new to be measured,5%,5%,1.87%,2.58%,0.00%,14.05%,16.09%,57.87%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H6975,Wellcare,"WELLCARE OF ALABAMA, INC.",Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,0:57,Plan too small to be measured,90%,0.49%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,39%,9%,66%,2%,29%,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,38%,52%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0.49%,0:57,97,1:06,92,Plan too new to be measured,Plan too new to be measured,No data available,No data available,5.26%,0.92%,0.00%,16.27%,12.27%,13.53%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H6988,Centers Plan for Healthy Living,"CENTERS PLAN FOR HEALTHY LIVING, LLC","Centers Plan for Healthy Living, LLC",Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,2:29,60%,94%,2.25%,Not enough data available,Not enough data available,45%,2%,Not enough data available,49%,95%,14%,97%,13%,55%,Not enough data available,Not enough data available,Not enough data available,89%,99%,33%,62%,77%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0.94%,0:24,100,0:16,94,72%,72%,6%,1%,5.75%,9.01%,0.00%,9.60%,9.53%,13.50%,CMS Found Issues with Plan's Data,Not Available,37%,10%,Not Available,Not Available,100
H7006,ATRIO Health Plans,ATRIO HEALTH PLANS,ATRIO Health Plans,Not enough data available,59%,Not enough data available,Not enough data available,92,1:05,87%,98%,1.47%,Not enough data available,Not enough data available,22%,3%,12%,62%,50%,12%,84%,14%,40%,11%,Not enough data available,11%,95%,Plan not required to report measure,61%,66%,87%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,1.47%,1:05,100,0:05,91,32%,18%,12%,No data available,7.16%,5.73%,0.00%,4.88%,9.25%,7.53%,1.35,Not Available,Not Available,Not Available,Not Available,Not Available,100
H7020,Cigna,"CIGNA HEALTHCARE OF SOUTH CAROLINA, INC.",CIGNA,Not enough data available,56%,Not enough data available,30%,No data available,0:19,74%,96%,0.00%,75%,70%,44%,6%,20%,53%,91%,29%,91%,17%,57%,12%,15%,11%,97%,Plan not required to report measure,38%,69%,82%,2%,2%,2%,8%,0.00%,0:19,100,0:48,48,61%,42%,9%,No data available,24.92%,4.30%,0.25%,8.53%,14.57%,12.76%,12.33,16%,24%,22%,Not Available,13%,60
H7028,Devoted Health,DEVOTED HEALTH INSURANCE COMPANY OF SOUTH CAROLINA,"Devoted Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7063,Blue Cross and Blue Shield of Kansas,"BLUECROSS BLUESHIELD KANSAS SOLUTIONS, INC.",Blue Cross Blue Shield of Kansas,Not enough data available,70%,Not enough data available,Not enough data available,Plan too new to be measured,0:16,77%,95%,1.12%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,9%,64%,64%,12%,88%,7%,43%,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,Plan not required to report measure,37%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,2.33%,0:16,101,0:09,64,34%,13%,5%,No data available,9.49%,7.30%,0.00%,4.33%,7.77%,8.03%,8.5,Not Available,Not Available,Not Available,Not Available,Not Available,100
H7074,Alignment Health Plan,"ALIGNMENT HEALTH PLAN OF NORTH CAROLINA, INC.","Alignment Healthcare USA, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:40,Plan too new to be measured,Plan too new to be measured,1.08%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,3.03%,0:59,No data available,0:19,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7076,CareSource,"CARESOURCE INDIANA, INC.",CareSource,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:55,Plan too small to be measured,Plan too small to be measured,0.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,CMS found issues with plan's data,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,No data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0.00%,0:55,103,0:48,48,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,9.32%,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H7093,Anthem Blue Cross and Blue Shield,COMMUNITY INSURANCE COMPANY,"Elevance Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:37,Plan too new to be measured,Plan too new to be measured,3.06%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,2.75%,0:24,No data available,0:28,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
