2017 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Appropriate Monitoring of Patients Taking Long-term Medications - DMC04,Osteoporosis Testing - DMC05,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC06,Doctors who Communicate Well - DMC07,Call Center – Beneficiary Hold Time - DMC08,Pneumonia Vaccine - DMC09,Access to Primary Care Doctor Visits - DMC10,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC11,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC12,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC13,Initiation of Alcohol or other Drug Treatment - DMC14,Engagement of Alcohol or other Drug Treatment - DMC15,Hospitalization for Potentially Preventable Complications - DMC16,Statin Therapy for Patients with Cardiovascular Disease - DMC17,Asthma Medication Ratio - DMC18,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Call Center – Pharmacy Hold Time - DMD09,Plan Submitted Higher Prices for Display on MPF - DMD10,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD11,Transition monitoring - failure rate for all other drugs - DMD12,Reminders to Fill prescriptions - DMD13,Reminders to Take Medications - DMD14,Statin Use in Persons with Diabetes (SUPD) - DMD15,High Risk Medication - DMD16,Formulary Administration Analysis - DMD17,Antipsychotic Use in Persons with Dementia - DMD18,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07"
H5533,UPMC Health Plan,"Upmc Health Network, Inc.",UPMC Health System,Not enough data available,56%,81%,91%,80%,38%,92,0:14,80%,96%,0.00%,83%,77%,32%,6%,37,82%,94%,100%,100.00%,0.00%,0:14,5%,0.69%,100%,95,0:17,99,No data available,0.0%,47%,19%,75%,4%,No data available,12%,97%,2.63,8%,10%,31%,6%,3%
H5549,VNSNY CHOICE Medicare,Vns Choice,Visiting Nurse Service of New York,50%,54%,95%,93%,66%,42%,91,0:15,49%,94%,0.84%,62%,86%,48%,6%,68,77%,56%,80%,66.67%,0.84%,0:15,5%,0.35%,100%,100,0:11,98,6.7%,0.0%,66%,67%,79%,4%,0.0%,12%,100%,2.24,29%,37%,22%,18%,22%
H5576,"Vantage Health Plan, Inc.","Vantage Health Plan, Inc.","Vantage Holdings, Inc.",29%,42%,91%,92%,62%,55%,93,1:00,64%,95%,0.83%,59%,73%,30%,2%,58,71%,78%,No data available,No data available,0.83%,1:00,7%,0.45%,100%,100,0:26,98,No data available,No data available,33%,25%,70%,7%,6.7%,11%,91%,0.62,16%,24%,24%,9%,9%
H5577,MCS Classicare,"Mcs Advantage, Inc.","Medical Card System, Inc.",80%,36%,88%,95%,85%,1%,93,0:10,31%,98%,0.74%,37%,46%,22%,1%,48,74%,87%,82%,100.00%,0.80%,0:11,5%,0.24%,100%,100,0:26,98,13.3%,60.0%,55%,49%,74%,6%,20.0%,13%,94%,0.41,11%,17%,31%,17%,8%
H5580,Mercy Care Advantage,Southwest Catholic Health Network Corporation,Southwest Catholic Health Network,64%,67%,94%,95%,73%,34%,Not enough data available,0:25,57%,97%,0.00%,73%,88%,32%,4%,37,72%,59%,50%,100.00%,0.00%,0:25,7%,1.20%,100%,100,0:02,98,0.0%,0.0%,47%,36%,76%,7%,16.7%,16%,No data available,7.06,12%,21%,5%,8%,11%
H5587,Health Choice Generations HMO SNP,"Health Choice Arizona, Inc.",IASIS Healthcare,40%,42%,87%,93%,68%,37%,Not enough data available,0:50,58%,94%,0.00%,63%,76%,40%,4%,32,74%,57%,0%,No data available,0.00%,0:50,6%,0.67%,100%,101,0:46,97,0.0%,6.7%,47%,37%,74%,6%,6.7%,6%,No data available,2.06,20%,36%,8%,11%,14%
H5590,Allwell,Bridgeway Health Solutions,Centene Corporation,Not enough data available,83%,Not enough data available,98%,Not enough data available,Not enough data available,Not enough data available,0:07,76%,100%,0.81%,65%,82%,48%,8%,19,72%,Not enough data available,0%,No data available,0.81%,0:07,8%,0.00%,100%,96,0:15,97,No data available,6.7%,39%,38%,78%,9%,No data available,22%,No data available,3.10,No data available,No data available,No data available,No data available,No data available
H5591,Martin's Point Generations Advantage,"Martin's Point Generations Advantage, Inc.","Martin's Point Health Care, Inc.",84%,66%,97%,92%,88%,41%,93,0:40,80%,97%,0.00%,67%,71%,36%,4%,40,83%,90%,98%,100.00%,0.00%,0:51,4%,0.40%,100%,102,0:28,99,No data available,No data available,22%,14%,80%,4%,0.0%,12%,99%,2.15,12%,12%,25%,10%,9%
H5594,"Optimum HealthCare, Inc.","Optimum Healthcare, Inc.","America's 1st Choice Holdings of Florida, LLC",52%,55%,94%,97%,82%,74%,90,0:09,67%,97%,0.00%,75%,75%,8%,0%,23,63%,72%,100%,No data available,0.00%,0:09,6%,0.65%,100%,102,0:25,98,0.0%,0.0%,64%,41%,77%,3%,0.0%,7%,99%,8.11,19%,33%,13%,11%,12%
H5608,"Denver Health Medical Plan, Inc.","Denver Health Medical Plan, Inc.",Denver Health and Hospital Authority,74%,49%,Not enough data available,88%,54%,27%,93,1:40,70%,94%,0.00%,72%,91%,33%,3%,48,91%,42%,No data available,No data available,0.00%,1:40,8%,0.09%,100%,101,0:24,18,No data available,0.0%,46%,41%,80%,5%,0.0%,7%,97%,1.09,17%,25%,16%,8%,14%
H5609,Blue Shield of California,California Physicians' Service,California Physicians' Service,Not enough data available,76%,Not enough data available,94%,74%,29%,90,0:18,77%,96%,0.81%,60%,74%,21%,1%,25,79%,Not enough data available,No data available,No data available,0.81%,0:18,7%,0.43%,100%,101,0:12,98,No data available,0.0%,39%,18%,76%,8%,0.0%,10%,100%,1.31,22%,26%,25%,12%,18%
H5613,MVP HEALTH CARE,"Mvp Health Plan, Inc.","MVP Health Care, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,Plan not required to report measure,No data available,88%,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H5619,"Arcadian Health Plan, Inc.","Arcadian Health Plan, Inc.",Humana Inc.,38%,51%,86%,92%,77%,30%,No data available,0:44,No data available,94%,0.00%,62%,75%,19%,2%,33,76%,68%,95%,50.00%,0.00%,0:44,4%,0.53%,100%,100,0:32,99,0.0%,0.0%,No data available,No data available,76%,5%,0.0%,11%,97%,CMS identified issues with this plan's data,21%,41%,18%,13%,15%
H5628,Molina Healthcare of Utah,"Molina Healthcare Of Utah, Inc.","Molina Healthcare, Inc.,",53%,50%,Not enough data available,90%,66%,32%,91,0:08,62%,97%,0.80%,73%,85%,41%,5%,27,84%,70%,75%,100.00%,0.80%,0:08,8%,0.13%,100%,100,0:34,97,0.0%,0.0%,48%,45%,75%,6%,No data available,11%,91%,2.49,31%,30%,17%,15%,24%
H5649,Central Health Medicare Plan,"Central Health Plan Of California, Inc.",AHMC Central Health LLC,27%,41%,85%,93%,64%,11%,Not enough data available,0:02,62%,94%,0.00%,60%,86%,6%,0%,21,71%,77%,100%,100.00%,0.00%,0:02,4%,0.25%,100%,102,0:15,99,No data available,0.0%,55%,49%,77%,3%,0.0%,5%,100%,0.66,20%,29%,12%,11%,19%
H5652,UnitedHealthcare,"Sierra Health And Life Insurance Company, Inc.","UnitedHealth Group, Inc.",Not enough data available,62%,Not enough data available,98%,90%,32%,93,0:21,95%,100%,1.28%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,39,67%,Not enough data available,100%,No data available,1.28%,0:21,6%,0.22%,100%,96,0:43,99,No data available,0.0%,30%,15%,82%,3%,No data available,8%,98%,0.70,No data available,No data available,No data available,No data available,No data available
H5656,"Universal American, A WellCare Company","Selectcare Health Plans, Inc.","WellCare Health Plans, Inc.",37%,45%,Not enough data available,95%,76%,38%,Not enough data available,0:16,66%,90%,0.00%,56%,82%,43%,4%,34,77%,Not enough data available,100%,No data available,0.00%,0:16,6%,0.00%,100%,100,0:34,98,No data available,0.0%,51%,38%,77%,3%,0.0%,7%,98%,11.11,16%,50%,8%,5%,9%
H5685,HAP Midwest Advantage,"Hap Midwest Health Plan, Inc.",Henry Ford Health System,Not enough data available,Not enough data available,Not enough data available,86%,Not enough data available,Not enough data available,Not enough data available,0:46,58%,95%,0.00%,13%,93%,40%,11%,No data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:08,7%,0.58%,100%,102,0:19,98,No data available,No data available,53%,46%,76%,8%,3.3%,No data available,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H5703,South Country Health Alliance,South Country Health Alliance,South Country Health Alliance,91%,Not enough data available,Not enough data available,92%,Not enough data available,Not enough data available,No data available,0:52,No data available,99%,0.00%,Not enough data available,Not enough data available,35%,5%,No data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:52,6%,0.98%,100%,103,0:04,99,No data available,0.0%,No data available,No data available,83%,25%,6.7%,No data available,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H5746,Amerigroup Community Care of New Mexico,"Amerigroup Community Care Of New Mexico, Inc.",Anthem Inc.,Not enough data available,44%,Not enough data available,80%,67%,24%,90,0:45,67%,91%,0.61%,Not enough data available,Not enough data available,29%,3%,13,72%,Not enough data available,No data available,No data available,0.61%,0:45,7%,0.00%,100%,101,0:21,97,No data available,No data available,43%,34%,75%,4%,0.0%,7%,98%,2.48,22%,20%,22%,15%,23%
H5774,Triple S Advantage,"Triple S Advantage, Inc.",Triple-S Management Corporation,81%,41%,88%,94%,82%,32%,94,0:05,33%,98%,0.00%,47%,66%,15%,2%,48,74%,86%,63%,66.67%,0.00%,0:04,5%,0.18%,100%,99,0:11,74,0.0%,6.7%,57%,57%,73%,3%,0.0%,17%,94%,1.00,18%,13%,41%,19%,14%
H5779,MeridianCare,"Meridian Health Plan Of Illinois, Inc.","Caidan Enterprises, Inc.",Not enough data available,Not enough data available,Not enough data available,90%,Not enough data available,Not enough data available,No data available,1:05,No data available,92%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,1:05,6%,1.16%,92%,100,0:38,56,No data available,0.0%,No data available,No data available,75%,8%,No data available,No data available,98%,Plan too small to be measured,28%,43%,22%,16%,18%
H5793,Aetna Medicare,Aetna Health Inc. (ct),Aetna Inc.,64%,61%,93%,91%,84%,44%,91,0:20,72%,97%,0.00%,78%,87%,31%,4%,35,80%,86%,100%,100.00%,0.00%,0:20,4%,0.85%,100%,101,0:28,98,0.0%,0.0%,48%,24%,78%,4%,0.0%,12%,96%,2.65,13%,8%,28%,10%,8%
H5810,Molina Healthcare of California,Molina Healthcare Of California,"Molina Healthcare, Inc.,",44%,32%,Not enough data available,92%,50%,10%,88,0:15,54%,93%,1.60%,58%,88%,63%,9%,47,73%,63%,100%,No data available,1.60%,0:15,5%,0.52%,100%,100,0:34,98,No data available,0.0%,54%,53%,77%,3%,No data available,13%,No data available,4.08,30%,39%,11%,15%,20%
H5817,Amerigroup,"Amerigroup Texas, Inc.",Anthem Inc.,58%,45%,82%,96%,64%,40%,89,0:37,61%,96%,0.41%,68%,78%,24%,3%,42,76%,76%,75%,100.00%,0.41%,0:37,5%,0.18%,100%,100,0:21,98,No data available,No data available,56%,55%,81%,3%,0.0%,7%,96%,CMS identified issues with this plan's data,32%,36%,23%,27%,23%
H5823,"Molina Healthcare of Washington, Inc.","Molina Healthcare Of Washington, Inc.","Molina Healthcare, Inc.,",34%,46%,Not enough data available,93%,52%,20%,89,0:18,59%,95%,3.23%,71%,87%,32%,3%,31,76%,57%,100%,No data available,3.23%,0:18,7%,0.23%,100%,100,0:34,97,0.0%,0.0%,45%,42%,78%,6%,No data available,15%,No data available,2.92,29%,27%,10%,10%,17%
H5826,Community HealthFirst Medicare Advantage Plan,Community Health Plan Of Washington,Community Health Plan of Washington,34%,56%,94%,91%,57%,22%,Not enough data available,0:14,69%,96%,2.40%,63%,83%,29%,4%,44,83%,63%,No data available,No data available,2.40%,0:14,5%,0.22%,100%,98,0:17,97,0.0%,6.7%,37%,34%,80%,5%,3.3%,10%,29%,CMS identified issues with this plan's data,18%,33%,28%,12%,9%
H5852,AHF,Aids Healthcare Foundation,AIDS Healthcare Foundation,Not enough data available,71%,Not enough data available,99%,Not enough data available,Not enough data available,Not enough data available,0:48,84%,97%,0.00%,Not enough data available,Not enough data available,25%,0%,No data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:40,14%,0.00%,100%,100,0:29,100,No data available,0.0%,77%,65%,74%,6%,6.7%,No data available,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H5854,Anthem Blue Cross and Blue Shield,"Anthem Health Plans, Inc.",Anthem Inc.,51%,56%,84%,93%,71%,Not enough data available,91,0:42,70%,97%,1.24%,75%,85%,40%,11%,32,87%,76%,100%,100.00%,1.24%,0:42,5%,0.27%,100%,99,0:21,99,No data available,No data available,52%,43%,80%,5%,0.0%,13%,96%,2.25,22%,20%,21%,9%,12%
H5859,CareOregon Advantage,"Health Plan Of Careoregon, Inc.","CareOregon, Inc.",56%,54%,95%,92%,60%,25%,Not enough data available,0:13,68%,95%,0.00%,65%,82%,33%,4%,36,78%,66%,67%,No data available,0.00%,0:13,5%,0.15%,100%,99,0:12,99,0.0%,0.0%,41%,44%,80%,6%,3.3%,14%,100%,5.01,11%,29%,16%,10%,13%
H5883,Blue Care Network,Blue Care Network Of Michigan,Blue Cross Blue Shield of Michigan Mutual Insuranc,71%,62%,91%,92%,82%,54%,91,0:33,76%,96%,0.82%,78%,78%,43%,5%,38,78%,86%,100%,100.00%,0.82%,0:33,4%,0.55%,100%,101,0:30,97,0.0%,0.0%,38%,18%,77%,4%,3.3%,11%,92%,0.70,20%,19%,30%,9%,12%
H5926,Molina Healthcare of Michigan,"Molina Healthcare Of Michigan, Inc.","Molina Healthcare, Inc.,",54%,44%,94%,90%,64%,31%,90,0:10,49%,96%,0.83%,73%,84%,39%,3%,42,75%,60%,100%,100.00%,0.83%,0:10,7%,0.24%,100%,100,0:34,98,0.0%,0.0%,56%,50%,77%,5%,No data available,10%,No data available,4.79,19%,28%,12%,15%,13%
H5928,Care1st Health Plan,Care1st Health Plan,California Physicians' Service,38%,57%,88%,90%,64%,30%,89,0:40,58%,94%,1.28%,54%,71%,49%,4%,30,73%,45%,86%,90.91%,1.28%,0:40,4%,0.12%,100%,100,0:10,98,6.7%,13.3%,63%,56%,78%,2%,3.3%,8%,97%,CMS identified issues with this plan's data,18%,27%,18%,19%,15%
H5932,Gateway Health Medicare Assured,"Gateway Health Plan, Inc.","Gateway Health Plan, LP",49%,42%,94%,93%,58%,29%,92,1:12,62%,96%,0.00%,75%,84%,38%,4%,62,81%,69%,97%,100.00%,0.00%,1:12,6%,0.41%,100%,104,1:51,96,0.0%,6.7%,64%,52%,78%,7%,No data available,13%,99%,2.17,13%,26%,20%,13%,7%
H5937,UCare,Ucare Minnesota,UCare Minnesota,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,1:04,Plan too new to be measured,Plan too new to be measured,0.82%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.82%,1:04,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:43,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5938,Capital Health Plan,Capital Health Plan,Guidewell Mutual Holding Corporation,81%,74%,93%,92%,91%,44%,93,0:18,80%,98%,0.00%,68%,77%,75%,9%,CMS Found Issues with Plan’s Data,77%,88%,94%,100.00%,0.00%,0:18,6%,0.36%,100%,100,0:07,99,No data available,No data available,46%,17%,78%,7%,0.0%,11%,95%,0.70,13%,31%,26%,7%,5%
H5943,VillageHealth,Scan Health Plan,SCAN Health Plan,Not enough data available,36%,Not enough data available,81%,Not enough data available,Not enough data available,Not enough data available,0:08,77%,99%,0.00%,Not enough data available,Not enough data available,36%,1%,No data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:08,5%,0.00%,100%,99,0:42,100,No data available,0.0%,76%,66%,70%,8%,No data available,12%,No data available,0.89,No data available,No data available,No data available,No data available,No data available
H5945,Prominence Health Plan,Prominence Healthfirst,"Universal Health Services, Inc.",Not enough data available,61%,Not enough data available,89%,69%,Not enough data available,90,0:07,78%,93%,0.00%,Not enough data available,Not enough data available,19%,1%,29,80%,Not enough data available,No data available,No data available,0.00%,0:07,4%,0.78%,100%,101,0:23,99,No data available,0.0%,34%,21%,75%,6%,6.7%,7%,95%,3.12,29%,45%,16%,13%,13%
H5959,Blue Cross Blue Shield of Minnesota,Blue Cross And Blue Shield Of Minnesota,"Aware Integrated, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5969,AlohaCare,Alohacare,AlohaCare,Not enough data available,Not enough data available,Not enough data available,95%,57%,Not enough data available,Not enough data available,0:10,57%,96%,0.00%,61%,84%,20%,3%,34,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:10,1%,0.00%,100%,99,0:42,98,No data available,0.0%,71%,57%,79%,7%,3.3%,7%,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
