2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Osteoporosis Testing - DMC04,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC05,Doctors who Communicate Well - DMC06,Call Center – Beneficiary Hold Time - DMC07,Pneumonia Vaccine - DMC08,Access to Primary Care Doctor Visits - DMC09,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC10,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC11,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC12,Initiation of Alcohol or other Drug Treatment - DMC13,Engagement of Alcohol or other Drug Treatment - DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Controlling High Blood Pressure - DMC16,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC17,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC18,Transitions of Care - Notification of Inpatient Admission - DMC19,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC20,Transitions of Care - Receipt of Discharge Information - DMC21,Transitions of Care - Average - DMC22,Plan All-Cause Readmissions - DMC23,Physical Functioning Activities of Daily Living - DMC24,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD06,MPF – Stability - DMD07,Call Center – Pharmacy Hold Time - DMD08,Plan Submitted Higher Prices for Display on MPF - DMD09,Reminders to Fill Prescriptions - DMD10,Reminders to Take Medications - DMD11,Antipsychotic Use in Persons with Dementia - DMD12,Antipsychotic Use in Persons with Dementia - for Community-Only Residents - DMD13,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD14,Use of Opioids at High Dosage and from Multiple Providers - DMD15,MPF Price Accuracy - DMD16,Concurrent Use of Opioids and Benzodiazepines - DMD17,Use of Opioids at High Dosage in Persons Without Cancer - DMD18,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD19,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD20,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD21,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H5178,Humana,"HUMANA HEALTH PLAN, INC.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:20,Plan too new to be measured,Plan too new to be measured,1.69%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,1.69%,00:20,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:12,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5190,Allwell,"SUNSHINE STATE HEALTH PLAN, INC.",Centene Corporation,25%,41%,Not enough data available,62%,Not enough data available,Not enough data available,00:16,49%,90%,1.56%,74%,88%,33%,2%,76,65%,51%,37%,4%,70%,0%,28%,11%,93,0%,No data available,1.56%,00:16,2%,100%,100,00:05,93,62%,57%,12%,13%,No data available,0.38%,94,23.14%,20.71%,0.69%,8.91%,10.55%,34.22,25%,41%,16%,Not Available,23%,100
H5199,WellCare,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.",Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,00:14,No data available,93%,3.89%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,72%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,3.89%,00:14,2%,100%,99,00:30,95,No data available,No data available,No data available,No data available,No data available,0.00%,94,19.41%,18.78%,0.00%,7.16%,3.10%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H5209,My Choice Wisconsin Health Plan,"CARE WISCONSIN HEALTH PLAN, INC.","My Choice Wisconsin, Inc.",Not enough data available,81%,Not enough data available,71%,31%,Not enough data available,00:13,69%,100%,2.34%,78%,81%,22%,5%,74,87%,88%,71%,50%,89%,43%,63%,9%,77,86%,100.00%,2.34%,00:13,7%,100%,100,00:32,85,40%,38%,19%,20%,9%,0.00%,83,20.78%,11.24%,0.99%,10.80%,11.30%,10.55,Not Available,Not Available,Not Available,Not Available,Not Available,100
H5211,"Security Health Plan of Wisconsin, Inc.","SECURITY HEALTH PLAN OF WISCONSIN, INC.","Marshfield Clinic Health System, Inc.",62%,66%,91%,86%,33%,92,00:46,82%,96%,0.00%,64%,82%,31%,4%,44,80%,57%,60%,27%,88%,10%,46%,9%,94,50%,No data available,0.00%,00:46,3%,100%,101,01:00,90,29%,19%,15%,14%,18%,0.05%,98,11.43%,4.11%,0.57%,6.53%,3.76%,1.19,11%,17%,34%,9%,8%,100
H5215,Network Health Medicare Advantage Plans,NETWORK HEALTH INSURANCE CORPORATION,"Network Health, Inc.",53%,64%,87%,81%,37%,92,00:34,84%,96%,3.13%,82%,83%,34%,5%,44,77%,59%,83%,76%,90%,55%,76%,7%,97,86%,66.67%,3.13%,00:34,3%,100%,100,00:10,77,32%,19%,12%,13%,13%,0.02%,88,14.29%,6.69%,0.44%,6.85%,4.76%,0.74,11%,13%,28%,6%,7%,80
H5216,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,52%,61%,87%,81%,33%,92,00:19,79%,97%,1.50%,76%,78%,35%,4%,46,82%,57%,37%,2%,85%,1%,31%,9%,96,95%,93.46%,1.50%,00:19,2%,100%,100,00:12,87,61%,35%,9%,8%,14%,0.05%,92,19.31%,7.39%,0.54%,7.22%,5.58%,1.46,17%,21%,30%,12%,13%,80
H5232,Paramount Elite/Medicare Plans,"PARAMOUNT CARE, INC.","Promedica Health System, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:34,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,0.00%,00:34,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:20,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5253,UnitedHealthcare,"UNITEDHEALTHCARE OF WISCONSIN, INC.","UnitedHealth Group, Inc.",45%,57%,90%,80%,33%,93,00:43,80%,96%,1.15%,75%,77%,40%,5%,38,75%,56%,54%,17%,81%,5%,39%,8%,94,96%,100.00%,1.15%,00:43,3%,100%,100,00:35,87,56%,27%,10%,9%,10%,0.08%,90,18.15%,7.94%,0.68%,8.60%,5.95%,3.17,21%,22%,24%,10%,12%,80
H5256,Medical Associates Clinic Health Plan of Wisconsin,MEDICAL ASSOCIATES CLINIC HEALTH PLAN,"Medical Associates Clinic, P.C.",Not enough data available,Benefit not offered by plan ,Plan not required to report measure,76%,31%,94,Plan not required to report measure,76%,97%,Plan not required to report measure,Benefit not offered by plan ,Benefit not offered by plan ,Benefit not offered by plan ,Benefit not offered by plan ,Plan not required to report measure,81%,64%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,95,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,1.04,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,100
H5262,Quartz Medicare Advantage,QUARTZ HEALTH PLAN CORPORATION,University of Wisconsin Hospitals and Clincs Autho,Not enough data available,67%,95%,90%,42%,95,00:34,83%,97%,0.78%,69%,71%,48%,6%,53,79%,65%,86%,93%,90%,79%,87%,8%,95,100%,100.00%,0.78%,00:34,2%,100%,101,00:05,90,30%,18%,13%,11%,20%,0.00%,98,11.99%,4.69%,0.32%,5.89%,4.60%,2.87,14%,28%,25%,10%,11%,100
H5264,"Dean Health Plan, Inc.","DEAN HEALTH PLAN, INC.",SSM Healthcare Corporation,Not enough data available,Benefit not offered by plan ,Plan not required to report measure,81%,39%,93,Plan not required to report measure,83%,97%,Plan not required to report measure,Benefit not offered by plan ,Benefit not offered by plan ,Benefit not offered by plan ,Benefit not offered by plan ,Plan not required to report measure,85%,62%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,94,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,3.33,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,100
H5273,CarePartners of Connecticut,"CAREPARTNERS OF CONNECTICUT, INC.","Tufts Health Plan, Inc",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:09,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,0.00%,00:09,0%,100%,107,00:20,81,No data available,No data available,No data available,No data available,No data available,No data available,89,No data available,No data available,No data available,No data available,6.93%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H5280,Molina Healthcare of Ohio,"MOLINA HEALTHCARE OF OHIO, INC.","Molina Healthcare, Inc.,",72%,57%,88%,48%,19%,Not enough data available,00:08,57%,94%,0.78%,77%,89%,46%,23%,44,64%,53%,8%,CMS Found Issues with Plan's Data,74%,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,5%,92,100%,No data available,0.78%,00:08,Plan not required to report measure,100%,Plan not required to report measure,00:21,Plan not required to report measure,50%,45%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0.73,Not Available,Not Available,Not Available,Not Available,Not Available,100
H5294,Allwell,"SUPERIOR HEALTH PLAN, INC.",Centene Corporation,49%,57%,Not enough data available,59%,Not enough data available,Not enough data available,00:25,57%,97%,5.00%,Not enough data available,Not enough data available,30%,1%,43,69%,48%,46%,5%,82%,0%,33%,5%,90,0%,No data available,5.00%,00:25,3%,100%,101,00:05,93,70%,60%,8%,6%,No data available,0.00%,94,16.90%,1.45%,0.41%,7.99%,5.26%,14.97,22%,33%,13%,19%,21%,100
H5296,Alignment Health Plan,"ALIGNMENT HEALTH PLAN OF NORTH CAROLINA, INC.","Alignment Healthcare USA, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5302,Aetna Medicare,AETNA HEALTH INC. (GA),CVS Health Corporation,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,00:57,No data available,97%,0.51%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,65%,51%,83%,0%,80%,0%,41%,Not enough data available,No data available,No data available,No data available,0.51%,00:57,1%,100%,99,00:38,94,No data available,No data available,No data available,No data available,No data available,0.00%,97,11.59%,11.07%,2.33%,No data available,3.14%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H5322,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",41%,53%,88%,66%,31%,91,00:42,57%,97%,1.16%,72%,83%,35%,4%,49,75%,53%,51%,8%,83%,1%,36%,7%,90,100%,No data available,1.16%,00:42,4%,100%,100,00:35,88,57%,50%,8%,7%,11%,0.07%,90,17.25%,4.90%,0.79%,13.08%,8.33%,2.25,20%,26%,8%,Not Available,14%,100
H5325,Aetna Medicare,"COVENTRY HEALTH CARE OF KANSAS, INC.",CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:57,Plan too new to be measured,Plan too new to be measured,0.53%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,0.53%,00:57,7%,100%,100,00:38,96,No data available,No data available,No data available,No data available,No data available,0.00%,98,21.92%,6.75%,0.00%,12.67%,12.03%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H5337,Aetna Better Health of Ohio (HMO SNP),AETNA BETTER HEALTH INC. (OH),CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:57,Plan too new to be measured,Plan too new to be measured,0.51%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,0.51%,00:57,No data available,100%,No data available,00:38,97,No data available,No data available,No data available,No data available,No data available,No data available,98,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
